"issue_key","created","resolutiondate","days_to_solve"
"CAMEL-363","2008-03-05","2008-03-11","6"
"CAMEL-5871","2012-12-13","2012-12-22","9"
"CAMEL-1568","2009-04-27","2009-04-28","1"
"CAMEL-6808","2013-10-01","2013-10-03","2"
"CAMEL-5454","2012-07-18","2012-08-02","15"
"CAMEL-5816","2012-11-23","2012-11-23","0"
"CAMEL-7924","2014-10-17","2014-10-20","3"
"CAMEL-519","2008-05-16","2008-05-21","5"
"CAMEL-1838","2009-07-17","2009-07-18","1"
"CAMEL-5510","2012-08-15","2013-09-19","400"
"CAMEL-528","2008-05-18","2008-05-22","4"
"CAMEL-1603","2009-05-12","2009-05-12","0"
"CAMEL-6903","2013-10-25","2013-10-26","1"
"CAMEL-3529","2011-01-11","2011-01-12","1"
"CAMEL-6432","2013-06-06","2013-06-07","1"
"CAMEL-6056","2013-02-08","2013-03-16","36"
"CAMEL-5299","2012-05-22","2012-05-23","1"
"CAMEL-2554","2010-03-16","2010-03-19","3"
"CAMEL-826","2008-08-14","2008-08-15","1"
"CAMEL-4449","2011-09-14","2011-09-17","3"
"CAMEL-6199","2013-03-22","2013-03-22","0"
"CAMEL-5782","2012-11-09","2012-11-10","1"
"CAMEL-993","2008-10-17","2009-06-09","235"
"CAMEL-8467","2015-03-09","2015-05-04","56"
"CAMEL-2284","2009-12-14","2009-12-15","1"
"CAMEL-3959","2011-05-09","2011-05-09","0"
"CAMEL-5248","2012-05-05","2012-05-05","0"
"CAMEL-5051","2012-02-28","2012-02-29","1"
"CAMEL-5773","2012-11-06","2012-11-06","0"
"CAMEL-1221","2009-01-03","2009-01-09","6"
"CAMEL-2867","2010-06-28","2010-06-28","0"
"CAMEL-391","2008-03-19","2008-03-19","0"
"CAMEL-407","2008-03-28","2008-03-28","0"
"CAMEL-3690","2011-02-21","2011-02-21","0"
"CAMEL-7045","2013-12-06","2013-12-06","0"
"CAMEL-7273","2014-03-05","2014-03-10","5"
"CAMEL-1283","2009-01-21","2009-01-22","1"
"CAMEL-691","2008-07-10","2008-07-10","0"
"CAMEL-8369","2015-02-17","2015-02-18","1"
"CAMEL-1263","2009-01-15","2009-01-18","3"
"CAMEL-3650","2011-02-10","2011-02-28","18"
"CAMEL-274","2007-12-24","2008-01-17","24"
"CAMEL-5683","2012-10-03","2012-10-07","4"
"CAMEL-8674","2015-04-20","2015-04-22","2"
"CAMEL-352","2008-03-03","2008-03-03","0"
"CAMEL-7277","2014-03-07","2014-03-07","0"
"CAMEL-4579","2011-10-25","2011-10-25","0"
"CAMEL-719","2008-07-15","2008-07-15","0"
"CAMEL-2615","2010-04-06","2010-04-06","0"
"CAMEL-8190","2014-12-29","2015-02-06","39"
"CAMEL-8901","2015-06-24","2015-06-25","1"
"CAMEL-5036","2012-02-24","2012-02-24","0"
"CAMEL-1210","2008-12-31","2008-12-31","0"
"CAMEL-1922","2009-08-20","2009-08-23","3"
"CAMEL-5710","2012-10-18","2012-10-18","0"
"CAMEL-2153","2009-11-09","2009-11-10","1"
"CAMEL-927","2008-09-22","2008-09-28","6"
"CAMEL-7565","2014-07-01","2015-03-21","263"
"CAMEL-4787","2011-12-16","2011-12-16","0"
"CAMEL-1356","2009-02-18","2009-02-25","7"
"CAMEL-2843","2010-06-23","2010-06-23","0"
"CAMEL-4215","2011-07-12","2011-07-13","1"
"CAMEL-1274","2009-01-19","2009-01-19","0"
"CAMEL-6443","2013-06-10","2013-07-23","43"
"CAMEL-1079","2008-11-11","2008-11-12","1"
"CAMEL-7506","2014-06-13","2014-06-13","0"
"CAMEL-6491","2013-06-25","2013-06-25","0"
"CAMEL-7636","2014-07-24","2014-07-25","1"
"CAMEL-5006","2012-02-14","2012-02-15","1"
"CAMEL-2510","2010-03-01","2010-03-10","9"
"CAMEL-4438","2011-09-11","2011-09-12","1"
"CAMEL-4025","2011-05-27","2011-05-29","2"
"CAMEL-4283","2011-07-29","2011-07-29","0"
"CAMEL-2621","2010-04-07","2010-04-07","0"
"CAMEL-8950","2015-07-10","2015-07-10","0"
"CAMEL-650","2008-06-30","2008-07-11","11"
"CAMEL-415","2008-03-30","2008-03-30","0"
"CAMEL-8780","2015-05-18","2015-05-22","4"
"CAMEL-6974","2013-11-18","2013-11-19","1"
"CAMEL-2815","2010-06-15","2010-06-15","0"
"CAMEL-8916","2015-06-29","2015-06-29","0"
"CAMEL-1583","2009-05-02","2009-05-04","2"
"CAMEL-7870","2014-09-27","2014-09-27","0"
"CAMEL-1622","2009-05-18","2009-05-18","0"
"CAMEL-5732","2012-10-22","2012-10-23","1"
"CAMEL-2642","2010-04-14","2010-06-07","54"
"CAMEL-6046","2013-02-07","2013-02-07","0"
"CAMEL-1621","2009-05-16","2009-05-16","0"
"CAMEL-6605","2013-08-02","2013-08-26","24"
"CAMEL-4926","2012-01-20","2012-01-20","0"
"CAMEL-4295","2011-08-02","2011-08-02","0"
"CAMEL-1080","2008-11-12","2008-11-13","1"
"CAMEL-8086","2014-11-27","2014-12-03","6"
"CAMEL-8450","2015-03-06","2015-03-06","0"
"CAMEL-3401","2010-12-07","2010-12-16","9"
"CAMEL-2605","2010-03-31","2010-03-31","0"
"CAMEL-657","2008-07-02","2008-07-02","0"
"CAMEL-4902","2012-01-16","2012-01-17","1"
"CAMEL-6313","2013-04-24","2013-04-25","1"
"CAMEL-4047","2011-06-03","2011-06-08","5"
"CAMEL-8106","2014-12-02","2014-12-02","0"
"CAMEL-5981","2013-01-19","2013-01-19","0"
"CAMEL-2017","2009-09-15","2009-09-22","7"
"CAMEL-5626","2012-09-19","2012-09-19","0"
"CAMEL-642","2008-06-27","2008-07-04","7"
"CAMEL-5989","2013-01-21","2013-01-24","3"
"CAMEL-2076","2009-10-18","2009-10-18","0"
"CAMEL-3358","2010-11-24","2010-11-24","0"
"CAMEL-8547","2015-03-25","2015-03-26","1"
"CAMEL-2171","2009-11-14","2009-11-14","0"
"CAMEL-1107","2008-11-21","2008-11-21","0"
"CAMEL-4316","2011-08-09","2011-08-09","0"
"CAMEL-2451","2010-02-05","2010-02-05","0"
"CAMEL-7456","2014-05-22","2014-07-22","61"
"CAMEL-2700","2010-05-06","2010-05-06","0"
"CAMEL-7363","2014-04-14","2014-04-16","2"
"CAMEL-3413","2010-12-08","2010-12-09","1"
"CAMEL-3321","2010-11-08","2010-11-08","0"
"CAMEL-7064","2013-12-12","2013-12-12","0"
"CAMEL-1513","2009-04-02","2009-04-09","7"
"CAMEL-3137","2010-09-20","2010-09-20","0"
"CAMEL-2897","2010-07-02","2010-07-02","0"
"CAMEL-2444","2010-02-03","2010-02-04","1"
"CAMEL-2341","2010-01-07","2010-01-08","1"
"CAMEL-5180","2012-04-16","2012-04-17","1"
"CAMEL-1448","2009-03-11","2009-03-11","0"
