project,file,sha,author,author_file_tot_added,author_file_added_this_commit,file_tot_added,author_file_tot_deleted,author_file_deleted_this_commit,file_tot_deleted,author_file_commits,file_tot_commits,current_lines_authored,current_file_size,current_comment_lines,max_current_author,total_current_authors,commit_date,bug_fix,fixed_bugs,affected_versions,implicated
lucene,lucene/src/java/org/apache/lucene/index/DocumentsWriter.java,c228e3c3f324d5e9ee7d2425c7ba1a6891e5f192,Simon Willnauer,4,4,4,6,6,6,1,1,178,609,207,267,6,2011-04-01 12:42:07 +0000,0,[],[],1.0
lucene,lucene/src/java/org/apache/lucene/index/DocumentsWriterPerThreadPool.java,c228e3c3f324d5e9ee7d2425c7ba1a6891e5f192,Simon Willnauer,0,0,0,1,1,1,1,1,135,203,58,135,2,2011-04-01 12:42:07 +0000,0,[],[],0.0
lucene,lucene/src/java/org/apache/lucene/index/FieldInfo.java,737f7b0ece9edc9b89a6f83c79839374cc6268ca,Michael McCandless,4,4,4,2,2,2,1,1,4,107,30,79,5,2011-04-02 13:22:09 +0000,0,[],[],0.0
lucene,lucene/src/java/org/apache/lucene/index/CheckIndex.java,155aeb69eebe0f2a18205f95b77f7623a0141750,Michael McCandless,23,23,23,0,0,0,1,1,152,1087,217,796,6,2011-04-02 15:19:34 +0000,0,[],[],0.0
lucene,lucene/src/test-framework/org/apache/lucene/util/_TestUtil.java,ed8b339d95152c856ef9ba20430fb40337b1bc52,Michael McCandless,13,13,13,0,0,0,1,1,93,354,60,99,7,2011-04-02 15:32:31 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/index/TestDocTermOrds.java,ed8b339d95152c856ef9ba20430fb40337b1bc52,Michael McCandless,517,517,517,0,0,0,1,1,517,517,48,517,1,2011-04-02 15:32:31 +0000,0,[],[],1.0
lucene,lucene/src/test-framework/org/apache/lucene/index/RandomIndexWriter.java,ed8b339d95152c856ef9ba20430fb40337b1bc52,Michael McCandless,1,1,1,1,1,1,1,1,54,211,56,157,2,2011-04-02 15:32:31 +0000,0,[],[],0.0
lucene,lucene/src/java/org/apache/lucene/index/DocTermOrds.java,ed8b339d95152c856ef9ba20430fb40337b1bc52,Michael McCandless,799,799,799,0,0,0,1,1,799,799,254,799,1,2011-04-02 15:32:31 +0000,0,[],[],1.0
lucene,lucene/src/java/org/apache/lucene/index/IndexReader.java,ed8b339d95152c856ef9ba20430fb40337b1bc52,Michael McCandless,16,16,16,0,0,0,1,1,155,1708,1019,1038,9,2011-04-02 15:32:31 +0000,0,[],[],0.0
lucene,lucene/src/test-framework/org/apache/lucene/store/MockDirectoryWrapper.java,ed8b339d95152c856ef9ba20430fb40337b1bc52,Michael McCandless,18,18,18,2,2,2,1,1,135,578,117,262,5,2011-04-02 15:32:31 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/TestWildcard.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,1,360,74,285,4,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/TestPhraseQuery.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,2,2,2,2,2,2,1,1,128,686,115,492,4,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/TestTermScorer.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,6,178,30,130,5,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/java/org/apache/lucene/index/SegmentInfo.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,0,0,0,1,1,1,1,1,97,736,161,361,7,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/TestSort.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,62,1029,112,725,7,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/TestFilteredSearch.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,2,2,2,2,2,2,1,1,2,119,23,98,5,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/TestSpanQueryFilter.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,3,87,18,69,4,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/spans/TestNearSpansOrdered.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,2,194,29,159,4,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test-framework/org/apache/lucene/util/LineFileDocs.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,170,180,28,170,3,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/contrib/misc/src/test/org/apache/lucene/misc/TestLengthNormModifier.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,2,221,27,170,4,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/cache/TestEntryCreators.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,3,226,27,223,2,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/java/org/apache/lucene/index/MergePolicy.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,0,0,0,1,1,30,318,140,259,3,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/contrib/misc/src/test/org/apache/lucene/index/TestMultiPassIndexSplitter.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,19,141,25,93,3,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/index/TestOmitTf.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,6,432,61,341,5,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/TestSubScorerFreqs.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,7,227,17,214,3,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/search/TestDocBoost.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,1,1,1,1,1,1,1,1,4,101,25,83,4,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/index/TestIndexWriterMerging.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,2,2,2,2,2,2,1,1,3,116,21,88,4,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/index/TestDocsAndPositions.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,2,2,2,2,2,2,1,1,7,332,37,324,3,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/test/org/apache/lucene/index/TestTieredMergePolicy.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,109,109,109,0,0,0,1,1,109,109,16,109,1,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/java/org/apache/lucene/index/SegmentReader.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,5,5,5,1,1,1,1,1,112,1207,201,1025,6,2011-04-02 15:47:12 +0000,0,[],[],0.0
lucene,lucene/src/java/org/apache/lucene/index/IndexWriter.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,63,63,63,19,19,19,1,1,994,3778,1425,2488,8,2011-04-02 15:47:12 +0000,0,[],[],1.0
lucene,lucene/src/test-framework/org/apache/lucene/util/_TestUtil.java,671206464488c5d8034f796843b62b0245f54a19,Michael McCandless,24,11,24,3,3,3,2,2,102,362,60,102,7,2011-04-02 15:47:12 +0000,0,[],[],0.0
