"issue_key","created","resolutiondate","days_to_solve"
"LUCENE-6508","2015-05-28","2015-06-04","7"
"LUCENE-6505","2015-05-27","2015-05-28","1"
"SOLR-172","2007-02-23","2007-03-19","24"
"SOLR-1283","2009-07-15","2011-01-26","560"
"SOLR-7732","2015-06-27","2015-07-05","8"
"SOLR-3391","2012-04-21","2012-04-22","1"
"LUCENE-4928","2013-04-11","2013-04-15","4"
"LUCENE-3452","2011-09-23","2011-12-02","70"
"SOLR-4459","2013-02-15","2013-02-16","1"
"SOLR-3821","2012-09-10","2012-09-21","11"
"SOLR-2310","2011-01-10","2011-01-10","0"
"LUCENE-440","2005-09-27","2005-11-07","41"
"SOLR-3427","2012-05-01","2012-05-02","1"
"SOLR-1446","2009-09-18","2009-09-18","0"
"LUCENE-962","2007-07-17","2007-07-17","0"
"SOLR-2081","2010-08-23","2010-11-23","92"
"LUCENE-2356","2010-03-29","2010-06-02","65"
"LUCENE-5170","2013-08-13","2013-08-14","1"
"LUCENE-948","2007-07-03","2007-08-03","31"
"LUCENE-6468","2015-05-06","2015-05-11","5"
"SOLR-1811","2010-03-05","2010-03-19","14"
"SOLR-7673","2015-06-12","2015-06-30","18"
"SOLR-470","2008-02-02","2008-05-19","107"
"LUCENE-1462","2008-11-19","2008-12-12","23"
"SOLR-2225","2010-11-09","2012-07-05","604"
"SOLR-2116","2010-09-09","2011-02-19","163"
"LUCENE-3323","2011-07-16","2011-07-16","0"
"SOLR-7614","2015-05-31","2015-06-03","3"
"SOLR-2636","2011-07-05","2011-07-06","1"
"LUCENE-976","2007-08-10","2007-08-10","0"
"SOLR-7494","2015-04-30","2015-05-01","1"
"LUCENE-1006","2007-09-27","2007-09-29","2"
"LUCENE-1490","2008-12-12","2009-03-18","96"
"SOLR-5663","2014-01-24","2014-01-24","0"
"SOLR-2829","2011-10-13","2011-11-05","23"
"SOLR-2791","2011-09-23","2011-09-26","3"
"LUCENE-1164","2008-02-05","2008-02-08","3"
"LUCENE-2512","2010-06-24","2010-06-24","0"
"SOLR-6993","2015-01-18","2015-01-21","3"
"LUCENE-2182","2009-12-28","2009-12-29","1"
"SOLR-532","2008-04-03","2008-10-22","202"
"LUCENE-4676","2013-01-10","2013-01-14","4"
"SOLR-4333","2013-01-22","2013-04-22","90"
"SOLR-5657","2014-01-22","2014-01-24","2"
"LUCENE-3831","2012-02-28","2012-03-07","8"
"LUCENE-246","2004-07-22","2006-05-27","674"
"SOLR-382","2007-10-17","2007-10-30","13"
"SOLR-4016","2012-10-30","2013-01-16","78"
"LUCENE-4594","2012-12-06","2012-12-10","4"
"LUCENE-6002","2014-10-09","2014-10-13","4"
"LUCENE-4601","2012-12-07","2012-12-10","3"
"SOLR-4601","2013-03-17","2013-03-19","2"
"LUCENE-2486","2010-06-04","2010-06-04","0"
"LUCENE-4809","2013-03-01","2013-03-01","0"
"SOLR-751","2008-09-03","2008-11-04","62"
"LUCENE-5738","2014-06-05","2014-06-06","1"
"SOLR-1005","2009-02-05","2009-02-06","1"
"SOLR-331","2007-08-09","2007-08-10","1"
"LUCENE-5002","2013-05-16","2013-05-21","5"
"SOLR-3075","2012-01-30","2012-01-30","0"
"SOLR-3214","2012-03-08","2012-03-27","19"
"LUCENE-6049","2014-11-05","2014-11-08","3"
"SOLR-1962","2010-06-18","2011-02-13","240"
"LUCENE-5344","2013-11-20","2014-01-15","56"
"LUCENE-1556","2009-03-10","2010-09-29","568"
"LUCENE-5537","2014-03-18","2014-03-18","0"
"LUCENE-4513","2012-10-29","2012-10-31","2"
"SOLR-3622","2012-07-15","2014-07-25","740"
"SOLR-7059","2015-01-29","2015-01-29","0"
"LUCENE-5062","2013-06-17","2013-06-20","3"
"LUCENE-461","2005-11-08","2005-11-12","4"
"LUCENE-5891","2014-08-18","2014-08-19","1"
"SOLR-4263","2013-01-04","2013-01-05","1"
"LUCENE-2940","2011-02-27","2011-02-27","0"
"LUCENE-6","2001-11-01","2006-05-27","1668"
"LUCENE-5361","2013-12-06","2014-01-08","33"
"LUCENE-5401","2014-01-16","2014-01-16","0"
"SOLR-5679","2014-01-30","2014-01-30","0"
"SOLR-353","2007-09-11","2007-09-12","1"
"LUCENE-2776","2010-11-24","2010-11-26","2"
"LUCENE-2488","2010-06-04","2010-06-05","1"
"SOLR-7512","2015-05-07","2015-06-16","40"
"LUCENE-4899","2013-04-03","2013-04-05","2"
"LUCENE-4776","2013-02-12","2013-02-13","1"
"SOLR-6829","2014-12-08","2014-12-08","0"
"LUCENE-4268","2012-07-28","2012-07-28","0"
"LUCENE-3465","2011-09-26","2011-09-26","0"
"LUCENE-3848","2012-03-04","2012-03-16","12"
"SOLR-3257","2012-03-20","2012-06-06","78"
"LUCENE-5413","2014-01-22","2014-01-22","0"
"LUCENE-1115","2008-01-02","2008-01-03","1"
"LUCENE-5493","2014-03-06","2014-03-07","1"
"LUCENE-961","2007-07-16","2010-08-19","1130"
"SOLR-3998","2012-10-26","2012-10-27","1"
"SOLR-1228","2009-06-18","2009-06-18","0"
"SOLR-1473","2009-09-29","2009-09-30","1"
"SOLR-6051","2014-05-07","2014-05-19","12"
"SOLR-2445","2011-03-26","2011-05-17","52"
"LUCENE-949","2007-07-03","2013-05-06","2134"
