"sha","file","commit_ownership","line_ownership_added","line_ownership_deleted","total_contributors","line_authorship","total_authors","file_size","comment_to_code_ratio","major_contributors","minor_contributors","lines_added_major_contributors","lines_added_minor_contributors","lines_deleted_major_contributors","lines_deleted_minor_contributors","implicated"
"0001b6943d3c631f7169cc56a62b5c690837c02d","lucene/src/test/org/apache/lucene/index/TestDeletionPolicy.java",0.444444444444444,0.4,0.620833333333333,4,0.722972972972973,5,740,0.170886075949367,4,0,4,0,3,1,0
"00557c983c72f080459c38836b076415d1491cf0","lucene/contrib/highlighter/src/test/org/apache/lucene/search/vectorhighlight/IndexTimeSynonymTest.java",1,1,0,1,0.972222222222222,4,324,0.10958904109589,1,0,1,0,0,1,0
"00557c983c72f080459c38836b076415d1491cf0","lucene/src/test/org/apache/lucene/index/TestIndexWriterExceptions.java",0.4,0.511221945137157,0.480769230769231,5,0.56373551465576,7,1467,0.0692419825072886,3,2,2,3,3,2,0
"00557c983c72f080459c38836b076415d1491cf0","lucene/src/test/org/apache/lucene/search/spans/TestPayloadSpans.java",1,1,1,1,0.806921675774135,6,549,0.0417457305502846,1,0,1,0,1,0,0
"00557c983c72f080459c38836b076415d1491cf0","modules/analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/PatternAnalyzer.java",1,1,1,1,0.899029126213592,3,515,0.475644699140401,1,0,1,0,1,0,0
"00608dcea0e755484ad62d6f462101b6e858d7f5","lucene/src/java/org/apache/lucene/search/HitQueue.java",1,0,1,1,0.975609756097561,2,82,2.41666666666667,1,0,0,1,1,0,0
"00692a6a2030a088f0d70296208d6bb5e3b2909c","lucene/src/test/org/apache/lucene/index/TestIndexWriterDelete.java",0.466666666666667,0.507299270072993,0.511111111111111,4,0.618871415356152,7,1081,0.12839248434238,3,1,3,1,3,1,0
"0090d0e6f8c200a54d1060abd08b19e94181ce20","lucene/src/java/org/apache/lucene/index/codecs/BlockTermsReader.java",1,1,1,1,0.998867497168743,2,883,0.319880418535127,1,0,1,0,1,0,0
"00ab3f7da561e42eb2cbc8e47c112ed2c0d1b980","lucene/contrib/memory/src/java/org/apache/lucene/index/memory/MemoryIndex.java",0.380952380952381,0.630681818181818,0.693602693602694,5,0.676305220883534,6,1245,0.383333333333333,4,1,2,3,2,3,0
"00ab3f7da561e42eb2cbc8e47c112ed2c0d1b980","lucene/src/java/org/apache/lucene/index/DirectoryReader.java",0.387096774193548,0.433333333333333,0.681069958847737,4,0.680497925311203,6,723,0.193069306930693,3,1,4,0,3,1,0
"00ab3f7da561e42eb2cbc8e47c112ed2c0d1b980","lucene/src/java/org/apache/lucene/index/FilterIndexReader.java",0.368421052631579,0.472972972972973,0.382113821138211,5,0.503496503496504,6,429,0.128947368421053,3,2,3,2,4,1,0
"00ab3f7da561e42eb2cbc8e47c112ed2c0d1b980","lucene/src/java/org/apache/lucene/index/IndexReader.java",0.269230769230769,0.467889908256881,0.437224669603524,5,0.382687927107062,8,1317,1.13106796116505,4,1,4,1,3,2,0
"00ab3f7da561e42eb2cbc8e47c112ed2c0d1b980","lucene/src/java/org/apache/lucene/index/MultiReader.java",0.416666666666667,0.720930232558139,0.446428571428571,4,0.71513353115727,5,337,0.358870967741935,3,1,2,2,3,1,0
"00ab3f7da561e42eb2cbc8e47c112ed2c0d1b980","lucene/src/java/org/apache/lucene/index/ParallelReader.java",0.4,0.427083333333333,0.331460674157303,4,0.626984126984127,5,504,0.247524752475248,4,0,3,1,4,0,0
"00ba6bdc4317d785d4acd2d639427eea58a12b64","lucene/src/java/org/apache/lucene/index/codecs/lucene40/values/FixedSortedBytesImpl.java",0.75,0.979166666666667,1,2,0.873913043478261,3,230,0.116504854368932,2,0,1,1,1,1,0
"00ba6bdc4317d785d4acd2d639427eea58a12b64","lucene/src/java/org/apache/lucene/index/codecs/lucene40/values/SortedBytesMergeUtils.java",1,1,1,1,0,3,0,0,1,0,1,0,1,0,0
"00ba6bdc4317d785d4acd2d639427eea58a12b64","lucene/src/java/org/apache/lucene/index/codecs/lucene40/values/VarSortedBytesImpl.java",0.75,0.981132075471698,1,2,0.858267716535433,3,254,0.165137614678899,2,0,1,1,1,1,0
"00ba6bdc4317d785d4acd2d639427eea58a12b64","lucene/src/java/org/apache/lucene/index/SortedBytesMergeUtils.java",1,1,0,1,0.909356725146199,3,342,0.239130434782609,1,0,1,0,0,1,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/AbstractAllGroupsCollector.java",1,1,0,1,1,1,67,1.79166666666667,1,0,1,0,0,1,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/AbstractFirstPassGroupingCollector.java",1,1,0,1,0.994413407821229,2,358,0.437751004016064,1,0,1,0,0,1,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/AbstractSecondPassGroupingCollector.java",1,1,0,1,1,1,156,0.380530973451327,1,0,1,0,0,1,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/AllGroupsCollector.java",1,1,1,1,0,1,0,0,1,0,1,0,1,0,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/BlockGroupingCollector.java",1,1,1,1,1,1,517,0.42032967032967,1,0,1,0,1,0,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/FirstPassGroupingCollector.java",1,1,1,1,0,2,0,0,1,0,1,0,1,0,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/GroupDocs.java",1,1,1,1,1,1,56,1,1,0,1,0,1,0,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/SearchGroup.java",1,1,1,1,1,1,32,2.55555555555556,1,0,1,0,1,0,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/SecondPassGroupingCollector.java",1,1,1,1,0,1,0,0,1,0,1,0,1,0,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/TermAllGroupsCollector.java",1,1,0,1,1,1,111,0.88135593220339,1,0,1,0,0,1,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/TermFirstPassGroupingCollector.java",1,1,0,1,1,1,85,0.847826086956522,1,0,1,0,0,1,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/TermSecondPassGroupingCollector.java",1,1,0,1,1,1,76,0.490196078431373,1,0,1,0,0,1,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/java/org/apache/lucene/search/grouping/TopGroups.java",1,1,1,1,1,1,61,0.694444444444444,1,0,1,0,1,0,0
"00f969b5e6ce975e04ea6ec457859072558f6d73","modules/grouping/src/test/org/apache/lucene/search/grouping/TestGrouping.java",0.5,0.954761904761905,0.929078014184397,2,0.977961432506887,2,726,0.115207373271889,2,0,1,1,1,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/demo/src/java/org/apache/lucene/demo/SearchFiles.java",0.666666666666667,0.8,0.666666666666667,2,0.840336134453782,5,238,0.160975609756098,2,0,2,0,2,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/HighlighterPhraseTest.java",0.333333333333333,0.683870967741935,0.8,4,0.56989247311828,6,372,0.047887323943662,4,0,2,2,2,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/HighlighterTest.java",0.555555555555556,0.827067669172932,0.793103448275862,4,0.80563947633434,5,1986,0.0906095551894563,4,0,2,2,2,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/highlighter/src/test/org/apache/lucene/search/highlight/TokenSourcesTest.java",0.333333333333333,0.576190476190476,0.715447154471545,4,0.705035971223022,4,278,0.116465863453815,4,0,2,2,2,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/memory/src/test/org/apache/lucene/index/memory/MemoryIndexTest.java",0.625,0.9,0.583333333333333,3,0.699551569506726,5,223,0.296511627906977,3,0,1,2,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/sandbox/src/test/org/apache/lucene/sandbox/queries/DuplicateFilterTest.java",0.6,0.875647668393782,0.941176470588235,3,0.715909090909091,4,176,0.181208053691275,3,0,2,1,1,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/sandbox/src/test/org/apache/lucene/sandbox/queries/FuzzyLikeThisQueryTest.java",0.333333333333333,0.978102189781022,0.75,3,0.706766917293233,4,133,0.176991150442478,3,0,1,2,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/sandbox/src/test/org/apache/lucene/sandbox/queries/regex/TestRegexQuery.java",0.333333333333333,0.985507246376812,0.666666666666667,3,0.777777777777778,5,135,0.153846153846154,3,0,1,2,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/sandbox/src/test/org/apache/lucene/sandbox/queries/regex/TestSpanRegexQuery.java",0.4,0.881889763779528,0.857142857142857,3,0.539823008849557,5,113,0.298850574712644,3,0,1,2,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/sandbox/src/test/org/apache/lucene/sandbox/queries/TestSlowCollationMethods.java",0.333333333333333,0.986754966887417,0.5,3,0.825503355704698,4,149,0.1640625,3,0,1,2,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/contrib/spatial/src/test/org/apache/lucene/spatial/tier/TestCartesian.java",0.333333333333333,0.358974358974359,0.779310344827586,4,0.803347280334728,6,478,0.298913043478261,4,0,4,0,1,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/java/org/apache/lucene/search/IndexSearcher.java",0.45,0.469387755102041,0.45643153526971,4,0.489570552147239,7,815,0.701461377870564,3,1,3,1,2,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test-framework/java/org/apache/lucene/analysis/CollationTestBase.java",0.571428571428571,0.990683229813665,0.727272727272727,3,0.614147909967846,5,311,0.224409448818898,3,0,1,2,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test-framework/java/org/apache/lucene/index/ThreadedIndexingAndSearchingTestCase.java",0.666666666666667,0.992412746585736,0.777777777777778,2,0.993846153846154,2,650,0.105442176870748,2,0,1,1,2,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test-framework/java/org/apache/lucene/search/CheckHits.java",1,1,1,1,0.884836852207294,5,521,0.318987341772152,1,0,1,0,1,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test-framework/java/org/apache/lucene/search/QueryUtils.java",0.5,0.995316159250585,0.777777777777778,2,0.717703349282297,5,418,0.204610951008646,2,0,1,1,2,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test-framework/java/org/apache/lucene/util/LuceneTestCase.java",0.642857142857143,0.976971388695045,0.477272727272727,4,0.62922966162707,10,1389,0.306679209783631,2,2,1,3,3,1,1
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/document/TestDocument.java",0.4,0.822916666666667,0.773809523809524,3,0.385665529010239,4,293,0.246808510638298,3,0,2,1,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/codecs/lucene3x/TestTermInfosReaderIndex.java",0.75,0.995121951219512,0.857142857142857,2,0.883838383838384,2,198,0.1,2,0,1,1,2,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/codecs/perfield/TestPerFieldPostingsFormat.java",0.5,0.981949458483754,0.6,3,0.584269662921348,4,267,0.18141592920354,3,0,1,2,3,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestBackwardsCompatibility.java",0.342857142857143,0.543352601156069,0.603988603988604,5,0.391304347826087,8,759,0.143072289156627,4,1,3,2,3,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestBinaryTerms.java",0.6,0.914634146341463,0.5,3,0.921052631578947,3,76,0.333333333333333,3,0,1,2,3,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestCodecs.java",0.434782608695652,0.394957983193277,0.378947368421053,3,0.703470031545741,4,634,0.106457242582897,3,0,3,0,3,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestCrashCausesCorruptIndex.java",0.5,1,1,2,1,1,259,0.550898203592814,2,0,1,1,1,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestDeletionPolicy.java",0.45,0.327272727272727,0.762626262626263,4,0.723202170963365,5,737,0.171701112877583,4,0,4,0,1,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestForTooMuchCloning.java",0.75,0.965116279069767,1,2,0.962962962962963,2,81,0.472727272727273,2,0,1,1,1,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexReaderReopen.java",0.478260869565217,0.794191919191919,0.938826466916355,4,0.806636155606407,6,874,0.0658536585365854,3,1,2,2,1,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexWriterCommit.java",0.466666666666667,0.8825,0.614035087719298,4,0.903374233128834,4,652,0.162210338680927,4,0,1,3,3,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexWriterDelete.java",0.285714285714286,0.517711171662125,0.394736842105263,6,0.588566073102156,8,1067,0.131495227995758,3,3,2,4,4,2,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexWriter.java",0.369565217391304,0.352795031055901,0.781281790437436,6,0.41882951653944,10,1965,0.0904550499445061,3,3,3,3,1,5,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexWriterOnDiskFull.java",0.315789473684211,0.39344262295082,0.347826086956522,4,0.88809946714032,4,563,0.221258134490239,4,0,4,0,4,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestIndexWriterReader.java",0.391304347826087,0.486033519553073,0.491978609625668,4,0.592270531400966,6,1035,0.117710583153348,3,1,3,1,3,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestLazyProxSkipping.java",0.3125,0.326923076923077,0.258064516129032,5,0.67965367965368,6,231,0.166666666666667,5,0,3,2,5,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestNRTThreads.java",0.636363636363636,0.930693069306931,0.947194719471947,4,1,1,121,0.247422680412371,2,2,1,3,1,3,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestOmitTf.java",0.611111111111111,0.633928571428571,0.588888888888889,3,0.669603524229075,5,454,0.164102564102564,3,0,2,1,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestParallelReader.java",0.444444444444444,0.446808510638298,0.559139784946237,3,0.623711340206186,4,194,0.121387283236994,3,0,3,0,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestReaderClosed.java",0.5,1,0.5,2,1,1,76,0.333333333333333,2,0,1,1,2,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestStressIndexing.java",0.571428571428571,0.692307692307692,0.6,3,0.900584795321637,5,171,0.23021582733813,3,0,3,0,3,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/index/TestTermsEnum2.java",0.666666666666667,0.972527472527473,0.857142857142857,2,0.971428571428571,2,175,0.206896551724138,2,0,1,1,2,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java",0.545454545454545,0.574074074074074,0.678571428571429,3,0.515492957746479,5,355,0.163934426229508,3,0,3,0,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/payloads/TestPayloadTermQuery.java",0.545454545454545,0.566037735849057,0.604651162790698,3,0.700280112044818,5,357,0.170491803278689,3,0,2,1,2,1,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/similarities/TestSimilarity2.java",1,1,1,1,1,1,247,0.154205607476636,1,0,1,0,1,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/similarities/TestSimilarityBase.java",1,1,1,1,1,1,584,0.445544554455446,1,0,1,0,1,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestBasics.java",0.428571428571429,0.8,0.684210526315789,3,0.528753993610224,6,626,0.0756013745704467,3,0,2,1,3,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestFieldMaskingSpanQuery.java",0.6,0.823529411764706,0.857142857142857,2,0.902578796561605,4,349,0.054380664652568,2,0,2,0,2,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestNearSpansOrdered.java",0.428571428571429,0.333333333333333,0.3125,4,0.823529411764706,5,187,0.183544303797468,4,0,3,1,4,0,0
"01228c7a99769f24c57602f84dbc3a2ef116b5cb","lucene/src/test/org/apache/lucene/search/spans/TestPayloadSpans.java",0.5,0.666666666666667,0.540540540540541,3,0.797752808988764,6,534,0.04296875,3,0,2,1,3,0,0
