"issue_key","created","resolutiondate","days_to_solve"
"MAHOUT-1020","2012-05-23","2012-06-03","11"
"MAHOUT-760","2011-07-13","2011-07-14","1"
"MAHOUT-1067","2012-09-12","2013-06-09","270"
"MAHOUT-485","2010-08-20","2010-08-22","2"
"MAHOUT-1147","2013-02-03","2013-06-11","128"
"MAHOUT-82","2008-10-14","2008-10-17","3"
"MAHOUT-1243","2013-06-06","2013-06-08","2"
"MAHOUT-296","2010-02-18","2010-02-18","0"
"MAHOUT-816","2011-09-21","2011-09-23","2"
"MAHOUT-784","2011-08-13","2012-02-09","180"
"MAHOUT-1015","2012-05-16","2012-05-16","0"
"MAHOUT-714","2011-05-29","2011-06-04","6"
"MAHOUT-1222","2013-05-20","2013-05-21","1"
"MAHOUT-1130","2012-12-20","2013-03-12","82"
"MAHOUT-532","2010-10-23","2010-10-25","2"
"MAHOUT-1532","2014-04-30","2014-05-18","18"
"MAHOUT-508","2010-09-21","2010-12-12","82"
"MAHOUT-556","2010-11-29","2011-01-17","49"
"MAHOUT-951","2012-01-19","2012-02-07","19"
"MAHOUT-23","2008-04-01","2008-04-18","17"
"MAHOUT-1638","2015-01-27","2015-04-03","66"
"MAHOUT-864","2011-11-02","2011-11-02","0"
"MAHOUT-97","2008-11-11","2008-11-12","1"
"MAHOUT-1678","2015-04-08","2015-04-08","0"
"MAHOUT-1063","2012-09-01","2012-09-01","0"
"MAHOUT-312","2010-02-28","2010-03-06","6"
"MAHOUT-1521","2014-04-21","2014-07-15","85"
"MAHOUT-27","2008-04-07","2008-04-07","0"
"MAHOUT-437","2010-07-11","2010-07-11","0"
"MAHOUT-1358","2013-11-18","2013-11-18","0"
"MAHOUT-524","2010-10-12","2012-01-04","449"
"MAHOUT-1333","2013-09-16","2013-09-17","1"
"MAHOUT-192","2009-10-29","2009-10-29","0"
"MAHOUT-1024","2012-06-03","2012-06-05","2"
"MAHOUT-534","2010-10-27","2010-10-27","0"
"MAHOUT-811","2011-09-14","2011-10-15","31"
"MAHOUT-1174","2013-03-25","2013-03-26","1"
"MAHOUT-98","2008-11-11","2008-11-12","1"
"MAHOUT-1378","2013-12-15","2013-12-15","0"
"MAHOUT-995","2012-03-28","2012-07-03","97"
"MAHOUT-379","2010-04-14","2010-09-22","161"
"MAHOUT-1575","2014-06-07","2014-06-07","0"
"MAHOUT-809","2011-09-14","2011-09-14","0"
"MAHOUT-1126","2012-12-10","2013-06-09","181"
"MAHOUT-677","2011-04-20","2011-04-20","0"
"MAHOUT-509","2010-09-22","2010-09-26","4"
"MAHOUT-1230","2013-05-27","2013-05-29","2"
"MAHOUT-492","2010-08-30","2010-08-30","0"
"MAHOUT-1101","2012-10-12","2012-10-12","0"
"MAHOUT-908","2011-12-02","2011-12-02","0"
"MAHOUT-834","2011-10-09","2012-05-07","211"
"MAHOUT-994","2012-03-21","2012-05-02","42"
"MAHOUT-543","2010-11-14","2010-11-15","1"
"MAHOUT-1285","2013-07-15","2013-11-29","137"
"MAHOUT-800","2011-09-02","2011-09-23","21"
"MAHOUT-1165","2013-03-15","2013-03-16","1"
"MAHOUT-895","2011-11-24","2011-11-28","4"
"MAHOUT-841","2011-10-14","2011-10-14","0"
"MAHOUT-1235","2013-06-01","2013-06-01","0"
"MAHOUT-1186","2013-04-05","2013-04-05","0"
"MAHOUT-1212","2013-05-13","2013-05-13","0"
"MAHOUT-700","2011-05-18","2011-06-04","17"
"MAHOUT-1612","2014-09-02","2015-03-29","208"
"MAHOUT-501","2010-09-13","2010-09-22","9"
"MAHOUT-1368","2013-12-02","2013-12-04","2"
"MAHOUT-351","2010-03-30","2010-03-30","0"
"MAHOUT-472","2010-08-13","2010-08-14","1"
"MAHOUT-1371","2013-12-05","2013-12-15","10"
"MAHOUT-1319","2013-08-26","2013-12-20","116"
"MAHOUT-1370","2013-12-04","2013-12-04","0"
"MAHOUT-186","2009-10-07","2009-10-19","12"
"MAHOUT-618","2011-03-07","2011-03-08","1"
"MAHOUT-1574","2014-06-07","2014-06-07","0"
"MAHOUT-1075","2012-09-24","2013-03-12","169"
"MAHOUT-1384","2013-12-20","2013-12-20","0"
"MAHOUT-427","2010-06-23","2010-09-24","93"
"MAHOUT-1396","2014-01-15","2014-01-15","0"
"MAHOUT-223","2009-12-15","2009-12-22","7"
"MAHOUT-1435","2014-03-08","2014-04-13","36"
"MAHOUT-197","2009-11-10","2009-12-07","27"
"MAHOUT-1060","2012-08-18","2013-06-01","287"
"MAHOUT-1084","2012-09-29","2013-06-08","252"
"MAHOUT-1305","2013-08-07","2014-02-03","180"
"MAHOUT-370","2010-04-07","2010-04-07","0"
"MAHOUT-580","2011-01-10","2011-01-11","1"
"MAHOUT-691","2011-05-09","2011-05-15","6"
"MAHOUT-937","2011-12-28","2011-12-29","1"
"MAHOUT-1225","2013-05-21","2013-06-01","11"
"MAHOUT-1401","2014-01-22","2014-01-22","0"
"MAHOUT-395","2010-05-15","2010-05-15","0"
"MAHOUT-449","2010-07-27","2010-09-24","59"
"MAHOUT-576","2011-01-05","2011-01-15","10"
"MAHOUT-610","2011-02-14","2011-03-22","36"
"MAHOUT-265","2010-01-20","2010-01-28","8"
"MAHOUT-649","2011-04-03","2011-04-04","1"
"MAHOUT-1402","2014-01-22","2014-01-22","0"
"MAHOUT-829","2011-10-06","2011-10-06","0"
"MAHOUT-172","2009-09-04","2009-09-14","10"
"MAHOUT-1238","2013-06-03","2013-06-03","0"
