"issue_key","created","resolutiondate","days_to_solve"
"MNG-4470","2009-11-25","2009-11-25","0"
"MNG-2695","2006-12-11","2008-10-27","686"
"MNG-391","2005-05-14","2005-05-14","0"
"MNG-1789","2005-12-08","2005-12-09","1"
"MNG-4227","2009-07-02","2009-07-02","0"
"MNG-3286","2007-11-14","2008-03-18","125"
"MNG-3873","2008-11-27","2008-11-28","1"
"MNG-1088","2005-10-04","2005-10-06","2"
"MNG-2994","2007-05-18","2010-04-08","1056"
"MNG-209","2005-03-16","2005-03-16","0"
"MNG-3852","2008-11-17","2008-12-22","35"
"MNG-3392","2008-02-08","2008-10-01","236"
"MNG-4482","2009-12-04","2009-12-04","0"
"MNG-2140","2006-03-09","2009-07-30","1239"
"MNG-3052","2007-06-13","2008-06-27","380"
"MNG-5638","2014-05-23","2014-06-11","19"
"MNG-1415","2005-11-03","2006-03-02","119"
"MNG-2753","2007-01-09","2007-09-02","236"
"MNG-2983","2007-05-11","2008-01-06","240"
"MNG-467","2005-06-12","2005-06-21","9"
"MNG-4418","2009-10-30","2010-03-30","151"
"MNG-5528","2013-10-23","2014-01-06","75"
"MNG-2977","2007-05-03","2007-05-31","28"
"MNG-4586","2010-03-11","2010-03-11","0"
"MNG-4866","2010-10-14","2010-10-14","0"
"MNG-4272","2009-08-01","2009-08-01","0"
"MNG-1205","2005-10-14","2005-11-09","26"
"MNG-814","2005-08-31","2005-09-13","13"
"MNG-3671","2008-07-18","2008-07-18","0"
"MNG-4745","2010-07-30","2010-08-24","25"
"MNG-811","2005-08-31","2005-09-03","3"
"MNG-2258","2006-04-30","2011-06-19","1876"
"MNG-267","2005-04-07","2005-04-20","13"
"MNG-4116","2009-03-29","2009-03-29","0"
"MNG-2632","2006-10-26","2009-12-30","1161"
"MNG-1049","2005-09-30","2005-10-05","5"
"MNG-374","2005-05-09","2005-05-10","1"
"MNG-3441","2008-03-05","2008-03-05","0"
"MNG-5747","2014-12-26","2014-12-26","0"
"MNG-4400","2009-10-23","2009-10-23","0"
"MNG-614","2005-07-20","2005-09-26","68"
"MNG-4043","2009-02-18","2009-02-24","6"
"MNG-4793","2010-09-02","2010-09-15","13"
"MNG-4219","2009-06-25","2009-06-26","1"
"MNG-931","2005-09-20","2005-09-20","0"
"MNG-1048","2005-09-29","2005-10-03","4"
"MNG-629","2005-07-21","2005-09-21","62"
"MNG-4011","2009-01-27","2009-01-27","0"
"MNG-2763","2007-01-12","2007-01-20","8"
"MNG-844","2005-09-07","2005-10-02","25"
"MNG-2074","2006-02-15","2006-04-03","47"
"MNG-3138","2007-08-06","2007-09-02","27"
"MNG-2867","2007-03-10","2007-03-11","1"
"MNG-1509","2005-11-10","2006-02-20","102"
"MNG-4102","2009-03-22","2009-03-23","1"
"MNG-5688","2014-09-10","2015-03-13","184"
"MNG-4832","2010-09-22","2010-09-24","2"
"MNG-4643","2010-04-26","2010-05-29","33"
"MNG-674","2005-07-28","2005-08-10","13"
"MNG-317","2005-04-15","2005-04-20","5"
"MNG-4771","2010-08-20","2010-08-20","0"
"MNG-4679","2010-05-18","2010-05-18","0"
"MNG-4651","2010-04-28","2010-04-28","0"
"MNG-677","2005-07-29","2005-09-27","60"
"MNG-229","2005-03-29","2005-08-09","133"
"MNG-4895","2010-11-12","2010-11-13","1"
"MNG-4068","2009-03-05","2009-03-05","0"
"MNG-2938","2007-04-05","2007-09-02","150"
"MNG-1478","2005-11-09","2006-02-01","84"
"MNG-4341","2009-09-07","2009-09-07","0"
"MNG-3341","2007-12-29","2008-01-03","5"
"MNG-4385","2009-10-01","2009-10-01","0"
"MNG-3639","2008-06-30","2008-07-25","25"
"MNG-449","2005-06-05","2005-10-11","128"
"MNG-4266","2009-07-29","2009-07-30","1"
"MNG-5145","2011-08-01","2015-01-21","1269"
"MNG-861","2005-09-09","2005-09-10","1"
"MNG-1600","2005-11-17","2005-11-18","1"
"MNG-1109","2005-10-06","2005-10-06","0"
"MNG-1545","2005-11-13","2006-09-24","315"
"MNG-3955","2009-01-04","2009-01-13","9"
"MNG-5188","2011-10-31","2015-01-22","1179"
"MNG-4016","2009-01-30","2009-01-30","0"
"MNG-2302","2006-05-17","2006-07-27","71"
"MNG-5670","2014-07-29","2014-07-29","0"
"MNG-487","2005-06-18","2005-06-18","0"
"MNG-2614","2006-10-17","2006-10-25","8"
"MNG-1843","2005-12-14","2006-06-19","187"
"MNG-1900","2005-11-16","2005-12-30","44"
"MNG-4074","2009-03-09","2009-04-22","44"
"MNG-4632","2010-04-13","2010-04-13","0"
"MNG-3181","2007-09-02","2007-10-29","57"
"MNG-328","2005-04-19","2005-04-20","1"
"MNG-2321","2006-05-25","2006-10-29","157"
"MNG-967","2005-09-22","2007-01-22","487"
"MNG-207","2005-03-16","2005-03-16","0"
"MNG-4236","2009-07-09","2009-07-23","14"
"MNG-5840","2015-06-05","2015-06-05","0"
"MNG-4184","2009-06-04","2009-07-30","56"
"MNG-307","2005-04-13","2005-04-15","2"
"MNG-3746","2008-09-08","2008-09-08","0"
"MNG-2299","2006-05-16","2006-11-04","172"
"MNG-1891","2005-12-22","2006-07-26","216"
"MNG-1784","2005-12-08","2006-01-04","27"
"MNG-3530","2008-04-17","2009-02-10","299"
"MNG-2123","2006-03-06","2008-03-05","730"
"MNG-687","2005-08-01","2005-08-02","1"
"MNG-2267","2006-05-03","2007-04-10","342"
"MNG-1804","2005-12-10","2005-12-11","1"
"MNG-4874","2010-10-22","2010-10-30","8"
"MNG-5513","2013-09-11","2013-09-26","15"
"MNG-4956","2010-12-29","2011-02-12","45"
"MNG-5550","2013-12-14","2013-12-15","1"
"MNG-711","2005-08-08","2005-08-08","0"
"MNG-4536","2010-01-18","2010-01-28","10"
"MNG-326","2005-04-19","2005-07-28","100"
"MNG-5233","2012-01-23","2012-01-23","0"
"MNG-3440","2008-03-05","2008-03-05","0"
"MNG-4571","2010-02-25","2010-02-27","2"
"MNG-4684","2010-05-21","2010-05-21","0"
"MNG-3874","2008-11-27","2008-12-01","4"
"MNG-3549","2008-04-25","2008-06-12","48"
"MNG-3805","2008-10-28","2008-10-29","1"
"MNG-26","2004-07-17","2004-07-19","2"
"MNG-567","2005-07-11","2005-07-21","10"
"MNG-4172","2009-05-24","2009-05-24","0"
"MNG-2330","2006-05-30","2007-02-28","274"
"MNG-1899","2005-12-27","2006-03-09","72"
"MNG-2343","2006-06-05","2006-12-31","209"
"MNG-2687","2006-12-06","2007-05-31","176"
"MNG-1318","2005-10-25","2006-03-03","129"
"MNG-4811","2010-09-16","2010-09-22","6"
"MNG-3585","2008-05-19","2008-08-07","80"
"MNG-4233","2009-07-09","2010-08-08","395"
"MNG-4864","2010-10-13","2010-10-17","4"
"MNG-3953","2009-01-03","2009-01-03","0"
"MNG-3366","2008-01-17","2012-07-26","1652"
"MNG-213","2005-03-17","2005-06-18","93"
"MNG-2291","2006-05-12","2006-08-11","91"
"MNG-1181","2005-10-12","2006-05-05","205"
"MNG-3919","2008-12-16","2009-02-03","49"
"MNG-4270","2009-07-31","2009-07-31","0"
"MNG-4975","2011-01-13","2011-01-14","1"
"MNG-4338","2009-09-04","2009-09-04","0"
"MNG-2783","2007-01-17","2008-01-08","356"
"MNG-797","2005-08-26","2005-09-01","6"
"MNG-4357","2009-09-14","2009-09-14","0"
"MNG-4572","2010-02-26","2010-02-26","0"
"MNG-473","2005-06-15","2005-06-16","1"
"MNG-3536","2008-04-21","2008-07-16","86"
"MNG-4245","2009-07-18","2009-07-28","10"
"MNG-3836","2008-11-12","2009-03-23","131"
"MNG-3131","2007-08-02","2013-03-01","2038"
"MNG-4941","2010-12-17","2010-12-17","0"
"MNG-316","2005-04-15","2005-04-20","5"
"MNG-3179","2007-09-02","2007-12-16","105"
"MNG-527","2005-06-25","2005-08-12","48"
"MNG-2988","2007-05-17","2007-06-07","21"
"MNG-3156","2007-08-18","2008-01-06","141"
"MNG-3012","2007-05-26","2007-05-31","5"
"MNG-500","2005-06-21","2005-06-21","0"
"MNG-5813","2015-04-28","2015-06-27","60"
"MNG-3740","2008-09-03","2008-09-03","0"
"MNG-3944","2008-12-26","2009-01-08","13"
"MNG-362","2005-04-27","2005-04-27","0"
"MNG-3888","2008-12-02","2011-01-22","781"
"MNG-685","2005-08-01","2005-09-16","46"
"MNG-948","2005-09-21","2005-10-30","39"
"MNG-5149","2011-08-04","2011-08-05","1"
"MNG-64","2004-08-14","2005-05-05","264"
"MNG-3584","2008-05-19","2008-08-08","81"
"MNG-3314","2007-12-07","2008-10-27","325"
"MNG-1934","2006-01-06","2006-01-13","7"
"MNG-480","2005-06-17","2005-06-21","4"
"MNG-2780","2007-01-17","2007-01-17","0"
"MNG-648","2005-07-26","2005-07-26","0"
"MNG-2201","2006-04-04","2007-01-10","281"
"MNG-1856","2005-12-16","2006-02-20","66"
"MNG-2739","2007-01-02","2008-07-28","573"
"MNG-4543","2010-01-22","2010-01-22","0"
"MNG-1177","2005-10-11","2006-03-09","149"
"MNG-3921","2008-12-17","2008-12-17","0"
"MNG-4542","2010-01-22","2010-01-22","0"
"MNG-838","2005-09-06","2005-10-08","32"
"MNG-1056","2005-09-30","2005-10-05","5"
"MNG-1999","2006-01-21","2008-10-17","1000"
"MNG-97","2004-10-16","2005-01-18","94"
"MNG-510","2005-06-23","2005-06-23","0"
"MNG-2744","2007-01-06","2008-03-14","433"
"MNG-2607","2006-10-13","2007-05-31","230"
"MNG-1355","2005-10-28","2005-12-06","39"
"MNG-2284","2006-05-09","2006-07-11","63"
"MNG-3761","2008-09-22","2009-12-29","463"
"MNG-19","2004-06-29","2004-08-10","42"
"MNG-5121","2011-06-21","2012-11-13","511"
"MNG-4474","2009-11-30","2009-12-01","1"
"MNG-606","2005-07-18","2005-07-22","4"
"MNG-4422","2009-10-31","2009-10-31","0"
"MNG-3394","2008-02-09","2008-03-07","27"
"MNG-1249","2005-10-20","2005-10-23","3"
"MNG-2037","2006-02-03","2006-02-16","13"
"MNG-5816","2015-04-29","2015-07-06","68"
"MNG-3436","2008-03-04","2008-03-04","0"
"MNG-3240","2007-10-16","2007-10-19","3"
"MNG-3134","2007-08-05","2007-08-14","9"
"MNG-3043","2007-06-08","2009-08-03","787"
"MNG-5006","2011-02-08","2011-02-24","16"
"MNG-3393","2008-02-08","2008-09-28","233"
"MNG-4332","2009-08-31","2009-08-31","0"
"MNG-497","2005-06-21","2005-06-21","0"
"MNG-773","2005-08-22","2005-08-24","2"
"MNG-425","2005-05-23","2005-05-23","0"
"MNG-900","2005-09-15","2005-09-21","6"
"MNG-599","2005-07-17","2005-07-26","9"
"MNG-2937","2007-04-05","2007-09-02","150"
"MNG-1045","2005-09-29","2005-10-02","3"
"MNG-4717","2010-07-05","2010-07-18","13"
"MNG-282","2005-04-11","2005-08-03","114"
"MNG-100","2004-12-12","2005-03-14","92"
"MNG-1278","2005-10-22","2005-12-14","53"
"MNG-4892","2010-11-09","2010-11-09","0"
"MNG-908","2005-09-17","2005-09-18","1"
"MNG-2689","2006-12-06","2007-06-06","182"
"MNG-3622","2008-06-12","2008-08-01","50"
"MNG-800","2005-08-28","2005-09-28","31"
"MNG-2827","2007-02-15","2007-02-28","13"
"MNG-3545","2008-04-24","2008-05-15","21"
"MNG-4070","2009-03-06","2009-03-08","2"
"MNG-684","2005-08-01","2005-08-10","9"
"MNG-5224","2012-01-03","2012-01-04","1"
"MNG-2161","2006-03-20","2006-05-06","47"
