project,file,sha,author,author_file_tot_added,author_file_added_this_commit,file_tot_added,author_file_tot_deleted,author_file_deleted_this_commit,file_tot_deleted,author_file_commits,file_tot_commits,current_lines_authored,current_file_size,current_comment_lines,max_current_author,total_current_authors,commit_date,bug_fix,fixed_bugs,affected_versions,implicated
zookeeper,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumPeer.java,bbc3fdc9973cf02256539a794b617c9b0da5b81f,Benjamin Reed,3,3,3,3,3,3,1,1,520,520,115,520,1,2007-11-06 17:15:39 +0000,0,[],[],0.0
zookeeper,zookeeper/java/src/com/yahoo/zookeeper/server/ZooKeeperServer.java,3eed1f68e7fcf50b54e67afff46c205c7762da7e,Andrew Kornev,728,728,728,706,706,706,1,1,728,728,85,728,1,2007-11-08 01:01:42 +0000,0,[],[],0.0
zookeeper,zookeeper/java/src/com/yahoo/zookeeper/server/PurgeTxnLog.java,03b424d305d37caffb28dcb35122380c83d953d3,Andrew Kornev,83,83,83,0,0,0,1,1,83,83,24,83,1,2007-11-08 01:02:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/AsyncTest.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,195,195,195,0,0,0,1,1,195,195,1,195,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/GenerateLoad.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,490,490,490,0,0,0,1,1,490,490,10,490,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/OOMTest.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,128,128,128,0,0,0,1,1,128,128,15,128,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/ClientTest.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,295,295,295,0,0,0,1,1,295,295,16,295,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/SessionTest.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,67,67,67,0,0,0,1,1,67,67,5,67,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/RecoveryTest.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,122,122,122,0,0,0,1,1,122,122,13,122,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/QuorumTest.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,85,85,85,0,0,0,1,1,85,85,0,85,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/SledgeHammer.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,97,97,97,0,0,0,1,1,97,97,6,97,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/ZooKeeperTestClient.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,388,388,388,0,0,0,1,1,388,388,0,388,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/CreateHammerTest.java,2cc64f54fdf857437ac7325639afdb67bbfb0388,Benjamin Reed,47,47,47,0,0,0,1,1,47,47,6,47,1,2007-11-09 00:36:20 +0000,0,[],[],0.0
zookeeper,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumPeer.java,11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,Benjamin Reed,4,1,4,4,1,4,2,2,520,520,115,520,1,2007-11-09 01:42:34 +0000,0,[],[],0.0
zookeeper,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/LeaderZooKeeperServer.java,11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,Benjamin Reed,1,1,1,1,1,1,1,1,76,76,27,76,1,2007-11-09 01:42:34 +0000,0,[],[],0.0
zookeeper,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerZooKeeperServer.java,11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,Benjamin Reed,1,1,1,1,1,1,1,1,147,147,30,147,1,2007-11-09 01:42:34 +0000,0,[],[],0.0
zookeeper,zookeeper/test/com/yahoo/zookeeper/test/TestHammer.java,abe4a0f6f2a45a366af7a9aa88b05c3822ec8723,mahadevkonar,46,46,46,0,0,0,1,1,2,46,6,44,2,2007-11-09 19:47:39 +0000,0,[],[],0.0
