"issue_key","created","resolutiondate","days_to_solve"
"ZOOKEEPER-976","2011-01-18","2011-02-27","40"
"ZOOKEEPER-637","2010-01-06","2010-01-07","1"
"ZOOKEEPER-362","2009-04-03","2009-04-03","0"
"ZOOKEEPER-250","2008-12-08","2008-12-11","3"
"ZOOKEEPER-1007","2011-03-04","2011-03-15","11"
"ZOOKEEPER-183","2008-10-10","2008-10-14","4"
"ZOOKEEPER-597","2009-11-25","2009-12-08","13"
"ZOOKEEPER-196","2008-10-20","2009-06-08","231"
"ZOOKEEPER-1745","2013-08-26","2014-04-25","242"
"ZOOKEEPER-1901","2014-03-23","2014-03-23","0"
"ZOOKEEPER-786","2010-06-04","2011-10-17","500"
"ZOOKEEPER-17","2008-06-10","2008-10-10","122"
"ZOOKEEPER-1913","2014-04-18","2014-04-18","0"
"ZOOKEEPER-622","2009-12-12","2010-03-06","84"
"ZOOKEEPER-1051","2011-04-21","2011-08-30","131"
"ZOOKEEPER-758","2010-04-29","2010-05-01","2"
"ZOOKEEPER-2156","2015-04-03","2015-05-20","47"
"ZOOKEEPER-470","2009-07-14","2009-07-20","6"
"ZOOKEEPER-804","2010-07-05","2010-10-20","107"
"ZOOKEEPER-576","2009-11-11","2009-11-20","9"
"ZOOKEEPER-1353","2012-01-06","2012-02-06","31"
"ZOOKEEPER-1756","2013-09-08","2013-12-16","99"
"ZOOKEEPER-1625","2013-01-19","2013-01-23","4"
"ZOOKEEPER-122","2008-08-19","2008-08-19","0"
"ZOOKEEPER-1754","2013-09-06","2013-09-17","11"
"ZOOKEEPER-1140","2011-07-29","2011-08-30","32"
"ZOOKEEPER-206","2008-10-23","2008-11-18","26"
"ZOOKEEPER-642","2010-01-13","2012-05-11","849"
"ZOOKEEPER-59","2008-06-30","2010-03-09","617"
"ZOOKEEPER-598","2009-11-25","2009-11-30","5"
"ZOOKEEPER-861","2010-09-02","2010-09-07","5"
"ZOOKEEPER-1781","2013-10-04","2013-10-07","3"
"ZOOKEEPER-1888","2014-02-25","2014-03-14","17"
"ZOOKEEPER-1406","2012-03-06","2012-03-18","12"
"ZOOKEEPER-2072","2014-10-28","2015-01-30","94"
"ZOOKEEPER-963","2010-12-23","2010-12-29","6"
"ZOOKEEPER-1563","2012-10-13","2012-12-28","76"
"ZOOKEEPER-240","2008-11-26","2009-01-14","49"
"ZOOKEEPER-499","2009-08-05","2009-08-10","5"
"ZOOKEEPER-624","2009-12-15","2010-03-17","92"
"ZOOKEEPER-1163","2011-08-25","2012-06-25","305"
"ZOOKEEPER-1535","2012-08-14","2012-12-31","139"
"ZOOKEEPER-735","2010-04-07","2010-04-08","1"
"ZOOKEEPER-86","2008-07-23","2010-01-15","541"
"ZOOKEEPER-533","2009-09-23","2009-09-23","0"
"ZOOKEEPER-1836","2013-12-13","2014-05-15","153"
"ZOOKEEPER-493","2009-08-01","2009-08-04","3"
"ZOOKEEPER-208","2008-10-27","2008-11-19","23"
"ZOOKEEPER-110","2008-08-05","2008-08-15","10"
"ZOOKEEPER-1536","2012-08-16","2012-08-30","14"
"ZOOKEEPER-2224","2015-06-30","2015-07-06","6"
"ZOOKEEPER-1462","2012-05-03","2013-10-02","517"
"ZOOKEEPER-1269","2011-10-28","2011-12-09","42"
"ZOOKEEPER-495","2009-08-03","2010-01-26","176"
"ZOOKEEPER-1319","2011-12-06","2011-12-09","3"
"ZOOKEEPER-491","2009-07-29","2009-08-04","6"
"ZOOKEEPER-275","2009-01-15","2009-01-29","14"
"ZOOKEEPER-1437","2012-03-29","2012-09-09","164"
"ZOOKEEPER-18","2008-06-10","2008-09-25","107"
"ZOOKEEPER-1893","2014-03-13","2015-03-15","367"
"ZOOKEEPER-1659","2013-03-07","2014-06-04","454"
"ZOOKEEPER-1562","2012-10-13","2013-02-03","113"
"ZOOKEEPER-481","2009-07-20","2009-08-03","14"
"ZOOKEEPER-1642","2013-02-08","2013-05-16","97"
"ZOOKEEPER-981","2011-02-01","2011-09-14","225"
"ZOOKEEPER-1090","2011-06-09","2011-07-28","49"
"ZOOKEEPER-1585","2012-11-19","2012-11-27","8"
"ZOOKEEPER-416","2009-05-26","2009-05-28","2"
"ZOOKEEPER-137","2008-09-08","2008-09-24","16"
"ZOOKEEPER-1270","2011-10-28","2011-11-05","8"
"ZOOKEEPER-1366","2012-01-19","2015-02-06","1114"
"ZOOKEEPER-267","2009-01-05","2009-01-28","23"
"ZOOKEEPER-1417","2012-03-15","2013-06-06","448"
"ZOOKEEPER-448","2009-06-26","2009-06-26","0"
"ZOOKEEPER-1648","2013-02-18","2013-02-19","1"
"ZOOKEEPER-203","2008-10-22","2008-10-22","0"
"ZOOKEEPER-1316","2011-12-04","2011-12-08","4"
"ZOOKEEPER-1214","2011-10-05","2014-05-18","956"
