"sha","file","commit_ownership","line_ownership_added","line_ownership_deleted","total_contributors","line_authorship","total_authors","file_size","comment_to_code_ratio","major_contributors","minor_contributors","lines_added_major_contributors","lines_added_minor_contributors","lines_deleted_major_contributors","lines_deleted_minor_contributors","previous_implications","implicated"
"0005115e42a54fed2b0c7e28bdcd0a5b8610fae4","src/java/test/org/apache/zookeeper/server/quorum/StandaloneDisabledTest.java",1,1,0,1,1,1,243,0.429411764705882,1,0,1,0,0,1,0,1
"0031e59ed0db229603399bda95f453b1f3cbb4eb","src/java/main/org/apache/zookeeper/ClientCnxn.java",0.416666666666667,0.834105653382762,0.532110091743119,4,0.94639175257732,4,970,0.109839816933638,1,3,1,3,1,3,6,1
"0031e59ed0db229603399bda95f453b1f3cbb4eb","src/java/main/org/apache/zookeeper/ZooKeeper.java",0.357142857142857,0.853304284676834,0.571428571428571,3,0.918947368421053,4,950,0.802656546489564,0,3,1,2,1,2,4,1
"011faa70ac374483204b8018d8310b3db2743a92","src/java/test/org/apache/zookeeper/test/ClientBase.java",0.365384615384615,0.4437564499484,0.337801608579088,5,0.478187919463087,5,596,0.124528301886792,0,5,1,4,0,5,12,0
"011faa70ac374483204b8018d8310b3db2743a92","src/java/test/org/apache/zookeeper/test/ClientTest.java",0.424242424242424,0.377483443708609,0.419397116644823,4,0.429718875502008,5,747,0.183835182250396,1,3,0,4,1,3,12,0
"011faa70ac374483204b8018d8310b3db2743a92","src/java/test/org/apache/zookeeper/test/QuorumBase.java",0.380952380952381,0.543859649122807,0.522388059701492,5,0.501355013550135,5,369,0.0573065902578797,0,5,1,4,1,4,9,0
"011faa70ac374483204b8018d8310b3db2743a92","src/java/test/org/apache/zookeeper/test/QuorumUtil.java",0.333333333333333,0.861818181818182,0.631578947368421,4,0.86328125,4,256,0.153153153153153,0,4,1,3,1,3,1,0
"0265c524df2547616df3cd96c38fd4d4a5c2e9a5","src/java/main/org/apache/zookeeper/OpResult.java",0.5,0.958549222797927,1,2,0.956756756756757,2,185,0.340579710144928,2,0,1,1,1,1,1,0
"0265c524df2547616df3cd96c38fd4d4a5c2e9a5","src/java/test/org/apache/zookeeper/test/MultiTransactionTest.java",0.428571428571429,0.519187358916479,0.757575757575758,4,0.477453580901857,4,377,0.10233918128655,1,3,1,3,1,3,2,0
"031d8f816d764a21e6ffda5f0baecca264b1f50c","zookeeper/java/src/com/yahoo/zookeeper/server/SessionTrackerImpl.java",1,1,1,1,0.915492957746479,2,213,0.121052631578947,1,0,1,0,1,0,0,0
